Algorithm,Accuracy ,Accuracy ,Precision,Precision,Recall,Recall
,Train,Test,Train,Test,Train,Test
Logistic Regression,0.77,0.77,0.73,0.72,0.57,0.58
KNN Classifier,0.8,0.73,0.76,0.65,0.65,0.52
KNN Classifier with normalisation,0.8,0.78,0.74,0.7,0.66,0.64
KNN Classifier with stdardisation,0.81,0.77,0.75,0.71,0.67,0.61
KNN Classifier with hpt-gscv,0.77,0.76,0.73,0.73,0.53,0.52
KNN Classifier with sampling-gscv,0.89,0.82,0.85,0.79,0.97,0.89
Decision Tree,1,0.71,1,0.59,1,0.52
Decision Tree with hpt-gscv,0.78,0.77,0.63,0.63,0.86,0.82
Decision Tree with prunning,0.81,0.81,0.8,0.8,0.64,0.6
Random Forest -SMOTE,1,0.86,1,0.83,1,0.89
Random Forest -hpt-rscv,0.87,0.84,0.84,0.82,0.93,0.86
